baseline_index,b1,b2,b3,x,y,suspicion_score,baseline_D1,baseline_D0,coarse_D1,coarse_D0,refined_D1,refined_D0,exact_D1_dense,exact_D0_dense,abs_err_baseline_D1_vs_exact,abs_err_baseline_D0_vs_exact,abs_err_coarse_D0_vs_exact,abs_err_refined_D0_vs_exact,baseline_stage1_measure,baseline_stage0_measure,coarse_stage1_measure,coarse_stage0_measure,refined_stage1_measure,refined_stage0_measure,exact_stage1_measure,exact_stage0_measure,baseline_vs_exact_D0_sign_flip,coarse_vs_exact_D0_sign_flip,refined_vs_exact_D0_sign_flip,map_dist_to_coarse,map_dist_to_refined
1752,0.3125,0.3375,0.35,0.5125,0.3031088913245535,2.2580243838832876,0.3011979166666666,0.12435224451626437,0.2885416666666667,0.1440495776883869,0.29694444444444434,0.1254203499844435,0.29666666666666663,0.12128794837300794,0.004531249999999987,0.0030642961432564286,0.02276162931537895,0.004132401611435577,1,1,1,1,1,1,1,1,0,0,0,0.017677669529663705,0.005892556509887914
1753,0.3125,0.35,0.3375,0.51875,0.29228357377724806,2.2580243838832876,0.3011979166666666,0.12435224451626437,0.2885416666666667,0.1440495776883869,0.29694444444444434,0.1254203499844435,0.29666666666666663,0.12128794837300794,0.004531249999999987,0.0030642961432564286,0.02276162931537895,0.004132401611435577,1,1,1,1,1,1,1,1,0,0,0,0.017677669529663705,0.005892556509887914
1754,0.3125,0.3625,0.325,0.525,0.2814582562299425,2.6842025092138533,0.28901041666666666,0.12369011219975412,0.2885416666666667,0.1440495776883869,0.28881944444444446,0.12629299784417858,0.2841666666666666,0.12134324734652047,0.0048437500000000355,0.0023468648532336545,0.02270633034186642,0.004949750497658112,1,1,1,1,1,1,1,1,0,0,0,0.017677669529663705,0.005892556509887875
1806,0.325,0.3125,0.3625,0.49375,0.31393420887185897,2.6841938556038536,0.28901039088540786,0.12369013798101292,0.2885416666666667,0.1440495776883869,0.28881944444444435,0.1262929978441787,0.2841666666666666,0.12134324734652036,0.004843724218741241,0.00234689063449256,0.022706330341866532,0.004949750497658334,1,1,1,1,1,1,1,1,0,0,0,0.017677669529663705,0.005892556509887875
1807,0.325,0.325,0.35,0.5,0.3031088913245535,2.8470547175676417,0.3010416587339716,0.12279443943598745,0.2885416666666667,0.1440495776883869,0.296875,0.12570339527353125,0.29666666666666663,0.121257297929935,0.004374992067304961,0.0015371415060524418,0.022792279758451883,0.004446097343596245,1,1,1,1,1,1,1,1,0,0,0,0.0,0.0
1808,0.325,0.3375,0.3375,0.5062500000000001,0.29228357377724806,2.502758106370382,0.313385414683493,0.12384724619439202,0.2885416666666667,0.1440495776883869,0.3050694444444444,0.12574226412997547,0.3091666666666666,0.12122879180730606,0.0042187480168264235,0.0026184543870859667,0.02282078588108083,0.0045134723226694096,1,1,1,1,1,1,1,1,0,0,0,0.017677669529663664,0.005892556509887914
1809,0.325,0.35,0.325,0.5125,0.2814582562299425,2.8470547175676786,0.3010416587339717,0.12279443943598733,0.2885416666666667,0.1440495776883869,0.296875,0.12570339527353125,0.29666666666666663,0.12125729792993512,0.004374992067305072,0.0015371415060522198,0.022792279758451772,0.004446097343596134,1,1,1,1,1,1,1,1,0,0,0,0.0,0.0
1818,0.325,0.4625,0.2125,0.56875,0.1840303983041932,2.3894122633033463,0.1872686994763041,0.15036899975808593,0.17563380266198236,0.16379586366491117,0.18058231339592623,0.15473526042832653,0.1841666666666667,0.14901285666619168,0.0031020328096373895,0.0013561430918942463,0.014783006998719483,0.005722403762134842,1,1,1,1,1,1,1,1,0,0,0,0.017677669529663646,0.005892556509887875
1862,0.3375,0.325,0.3375,0.49375,0.29228357377724806,2.5027581063704076,0.3133854146834929,0.12384724619439214,0.2885416666666666,0.144049577688387,0.3050694444444444,0.1257422641299757,0.3091666666666666,0.12122879180730595,0.0042187480168263125,0.0026184543870861887,0.02282078588108105,0.004513472322669743,1,1,1,1,1,1,1,1,0,0,0,0.017677669529663664,0.005892556509887914
1863,0.3375,0.3375,0.325,0.5,0.2814582562299425,2.502758106370382,0.3133854146834929,0.12384724619439214,0.2885416666666666,0.144049577688387,0.3050694444444444,0.12574226412997558,0.3091666666666667,0.12122879180730595,0.0042187480168262015,0.0026184543870861887,0.02282078588108105,0.004513472322669632,1,1,1,1,1,1,1,1,0,0,0,0.017677669529663664,0.005892556509887914
